Species Name,Common Name
Acorus calamus,Vekhand - Mosquito Repellent
Acorus calamus,Bacha
Acorus calamus,Vacha
Acorus calamus,Wekhano
Acorus calamus,Sweet Flag
Acorus gramineus,Sweet Flag Grass
Acorus gramineus,Japanese Sweet Flag
Acorus gramineus,
Acorus gramineus variegatus,Variegated Sweet Flag Grass
Acorus gramineus variegatus,Variegated Japanese Sweet Flag
Acorus gramineus variegatus,
Alpinia calcarata,Sundi Grass
Alpinia calcarata,Sundo Grass
Alpinia calcarata,Snap Ginger
Alpinia calcarata,Cardamon Ginger
Alpinia calcarata,Indian Ginger
Arundinaria pumila,Bamboo Ultra Dwarf
Arundo donax,Arundodonax Green
Arundo donax,Reed Grass
Arundo donax versicolor,Reed Grass White
Arundo donax versicolor,Variegated Giant Reed
"Bambusa lako, Gigantochloa atroviolacea",Thick Bamboo Black
"Bambusa lako, Gigantochloa atroviolacea",Black Timor Bamboo
"Bambusa lako, Gigantochloa atroviolacea",Black Bamboo
"Bambusa multiplex, B. glaucescens",Bamboo Dwarf
"Bambusa multiplex, B. glaucescens",Fernleaf Bamboo
"Bambusa multiplex, B. glaucescens",Pencil Bamboo
Bambusa ventricosa dwarf,Dwarf Buddhas Belly Bamboo
Bambusa ventricosa striata,Buddhas Belly Bamboo Variegated
"Bambusa ventricosa, B. tuldoides ventricosa",Bamboo Buddha Belly
Bambusa vulgaris,Bamboo Golden Variegated
Bambusa vulgaris,Feathery Bamboo
Bambusa vulgaris,Tiger Bamboo
Carex bronze,Carex Bronze
Carex bronze,Brown Grass
Carex morrowii variegata,Carex Grass Variegated
Carex morrowii variegata,Japanese Sedge Grass
Carex morrowii variegata,Variegated Sedge Grass
Carex priarie fire,Brown Grass Erect Growing
"Chamaedorea seifrizii, C. erumpens",Bamboo Palm
"Chamaedorea seifrizii, C. erumpens",Seaforthia Palm
"Chamaedorea seifrizii, C. erumpens",Cane Palm
"Chrysopogon zizanioides, Vetiveria zizanoides",Khus
"Chrysopogon zizanioides, Vetiveria zizanoides",Cuss Cuss
"Cortaderia selloana, C. argentea",Pampas Grass
Curculigo capitulata,Curculigo
Curculigo capitulata,Ground Orchid
Cymbopogon floxosus,Lemon Grass
Cymbopogon floxosus,Citronella Grass
Cynadon dactylon,Bermuda Grass
